headline,category
members of trade unions arrested,declarative
When a rere bird stops by,interrogative
Brace yourself for more back breaking rides,imperative
Chemical ban has helped closing up of ozone layer hole,exclamatory
Sealing drive carried out at defence at Defence colony,np_drop
BJP should apologise to nation for spreading unfounded allegations,qws
months on  Rs     lakh training unit in limbo,frag
motorists jailed for tipsy driving,declarative
Why I m hooked on Carnatic music,interrogative
Casting off the veil,imperative
Find out,exclamatory
Poisoning the well,np_drop
No provision empowers court to ban media from reporting,qws
A case of the blues,frag
year old lorry driver stabbed to death,declarative
Where s the party,interrogative
Cut and keep winter,imperative
Flying high,exclamatory
Setting the mood,np_drop
Improve working conditions for police,qws
Accident near Uthangudi,frag
unidentified bodies found every month since,declarative
How krishna humbled Arjuna,interrogative
Meet the new Mowgli,imperative
Braving chill,exclamatory
Spreading the word,np_drop
Trump has put Pak  on notice,qws
ACTIVITY   STATE BIRDS,frag
sanitation workers to be made permanent,declarative
Vala in race for Gujarat CM post,interrogative
Mind the tone,imperative
Documentary on actress activist Rose McGowan coming to E,exclamatory
Reading Rahul Gandhi s hand,np_drop
Manual refund processing makes GST primitive,qws
A day in the Assembly,frag
held with Rs       lakh in foreign currency,declarative
Do we know the other side,interrogative
Plate it right,imperative
No art gallery  Here s my home  says artist,exclamatory
Missing the pulse,np_drop
Saw huge surge in demand for machine tools in,qws
Admiring the masterpiece,frag
history sheeters wa  month drive for safe roads,declarative
Who s that mysterious visitor,interrogative
Light up your Christmas,imperative
Say hello to creativity,exclamatory
Being sportive,np_drop
I am not in a hurry,qws
Advanced course in inclusive education,frag
ULFA cadres hurt in firing,declarative
WHO AM I,interrogative
Shoot  em up,imperative
Look how Bengaluru plans to celebrate the girl child,exclamatory
Battling stereotypes,np_drop
I ll always be team Margaret,qws
Alappuzha,frag
booked for organising erudhattam,declarative
Why do meteoroids explode before reaching Earth,interrogative
Tighten security,imperative
New Year s eve for Space station crew,exclamatory
Upping the ante,np_drop
Middle class is a mindset,qws
amalapuram,frag
month drive for safe roads,declarative
Why are there holes in Cream Cracker Biscuits,interrogative
Act fast,imperative
It s a wrap,exclamatory
Fighting it out,np_drop
A different kind of happiness,qws
Amartya Sen,frag
students from Ramnad in State hockey team,declarative
How does the windscreen become transparently clean after being wiped by the windshield wiper,interrogative
Meet the most beautiful  Christmas tree  in the world,imperative
Like Rome  Amaravati too can t be built in a day,exclamatory
Breathing life into Indian crafts,np_drop
I had a hunch this would be special,qws
andhra Pradesh,frag
staff die in blaze inside bar,declarative
Is it true that you shouldn t look at the sun even during a TOTAL solar eclipse,interrogative
Extend deadline  garment exporters,imperative
Baking up a storm,exclamatory
Sparkling creations,np_drop
Dispel uncertainty over cracker ban,qws
An eventful friendship,frag
Aadhaar based monitoring of attendance for govt  staff,declarative
Paris to ban wild animals in circuses,interrogative
Meet the wild bull,imperative
Merry Christmas,exclamatory
Celebrating high energy,np_drop
India leads in global milk production,qws
A new chapter,frag
AAP chose a BJP supporter  says Maken,declarative
Can music do more than comfort the sick,interrogative
Call for value based education,imperative
Be a kid,exclamatory
Baking with juniors Bengaluru,np_drop
Don t ferry cattle at night to avoid misunderstanding,qws
Another R Day at work,frag
AAP marks entry to Rajya Sabha with three MPs,declarative
briefly,interrogative
Forward  Munch,imperative
It s a wrap,exclamatory
Playing alone Bengaluru,np_drop
My stance on govt  services misconstrued,qws
Ansari wins,frag
AAP marks entry to RS with three MPs,declarative
Should adultery be a crime,interrogative
Chennai will whistle again for Dhoni,imperative
Smile  you re on candid camera,exclamatory
Taking point,np_drop
Mine revenue made living conditions better,qws
A rare unity among parties,frag
AAP to contest    seats in Meghalaya polls,declarative
Scam  or folklore,interrogative
Make your move,imperative
Don t let them take our pastries away,exclamatory
Exploring the metaphysical,np_drop
Can t prevent midnight darshan on New Year,qws
areshiroor  udupi district,frag
About       acres of forest land occupied,declarative
How alive is the Revival,interrogative
Need to safeguard interests of migrant workers stresses,imperative
It s a wrap,exclamatory
Demand for political space for BCs,np_drop
Movie market   Tier   and   towns are growth centres,qws
Arsenal dumped out,frag
A  clean  festival is still some way off,declarative
Where s the party,interrogative
Get in line,imperative
Stage is where the heart is,exclamatory
Keeping it real,np_drop
Strengthen Friends of Police,qws
Art,frag
A clean sweep for Coimbatore,declarative
